Batch Size,Hidden Size,Dropout Rate,Learning Rate,Weight Decay,Optimizer,Scheduler,Test Accuracy,Test Loss
64,1024,0.1,0.005,0.0005,Adam,ReduceLROnPlateau,0.4399,1.555824033355713
64,1024,0.1,0.005,0.001,Adam,ReduceLROnPlateau,0.433,1.5458931488037109
64,1024,0.1,0.001,0.0001,Adam,ReduceLROnPlateau,0.3858,1.680225694656372
64,1024,0.1,0.001,0.0005,Adam,ReduceLROnPlateau,0.4021,1.6598025039672852
64,1024,0.1,0.001,0.001,Adam,ReduceLROnPlateau,0.3906,1.666166763305664
64,1024,0.3,0.01,0.0001,Adam,ReduceLROnPlateau,0.374,1.7566095359802245
64,1024,0.3,0.01,0.0005,Adam,ReduceLROnPlateau,0.3633,1.7487180885314941
64,1024,0.3,0.01,0.001,Adam,ReduceLROnPlateau,0.3272,1.725320047569275
64,1024,0.3,0.005,0.0001,Adam,ReduceLROnPlateau,0.4238,1.6202863214492798
64,1024,0.3,0.005,0.0005,Adam,ReduceLROnPlateau,0.4453,1.5359662174224853
64,1024,0.3,0.005,0.001,Adam,ReduceLROnPlateau,0.445,1.5510989665985107
64,1024,0.3,0.001,0.0001,Adam,ReduceLROnPlateau,0.3902,1.6914217391967774
64,1024,0.3,0.001,0.0005,Adam,ReduceLROnPlateau,0.3964,1.6819922578811646
64,1024,0.3,0.001,0.001,Adam,ReduceLROnPlateau,0.3549,1.6834369438171386
64,1024,0.5,0.01,0.0001,Adam,ReduceLROnPlateau,0.3974,1.694137506866455
64,1024,0.5,0.01,0.0005,Adam,ReduceLROnPlateau,0.3824,1.7411407842636109
64,1024,0.5,0.01,0.001,Adam,ReduceLROnPlateau,0.3708,1.7427049001693726
64,1024,0.5,0.005,0.0001,Adam,ReduceLROnPlateau,0.4404,1.5747951932907105
64,1024,0.5,0.005,0.0005,Adam,ReduceLROnPlateau,0.4386,1.5967058765411377
64,1024,0.5,0.005,0.001,Adam,ReduceLROnPlateau,0.4455,1.5621691047668458
64,1024,0.5,0.001,0.0001,Adam,ReduceLROnPlateau,0.3872,1.6698875707626344
64,1024,0.5,0.001,0.0005,Adam,ReduceLROnPlateau,0.3595,1.7397539443969727
64,1024,0.5,0.001,0.001,Adam,ReduceLROnPlateau,0.3672,1.6844587795257568
64,256,0.1,0.01,0.0001,SGD,ReduceLROnPlateau,0.4743,1.4758527782440185
64,256,0.1,0.01,0.0001,RMSprop,ReduceLROnPlateau,0.3403,1.8384883968353272
64,256,0.1,0.01,0.0005,SGD,ReduceLROnPlateau,0.4693,1.4625688833236694
64,256,0.1,0.01,0.0005,RMSprop,ReduceLROnPlateau,0.3723,1.7337855556488038
64,256,0.1,0.01,0.001,SGD,ReduceLROnPlateau,0.4684,1.4957061412811279
64,256,0.1,0.01,0.001,RMSprop,ReduceLROnPlateau,0.3215,1.8612654096603394
64,256,0.1,0.005,0.0001,SGD,ReduceLROnPlateau,0.4509,1.5690564971923828
64,256,0.1,0.005,0.0001,RMSprop,ReduceLROnPlateau,0.3717,1.670470721435547
64,256,0.1,0.005,0.0005,SGD,ReduceLROnPlateau,0.4499,1.5578364248275758
64,256,0.1,0.005,0.0005,RMSprop,ReduceLROnPlateau,0.3932,1.5951647766113282
64,256,0.1,0.005,0.001,SGD,ReduceLROnPlateau,0.4409,1.5786393873214721
64,256,0.1,0.005,0.001,RMSprop,ReduceLROnPlateau,0.3977,1.711680170249939
64,256,0.1,0.001,0.0001,SGD,ReduceLROnPlateau,0.3916,1.7608882053375243
64,256,0.1,0.001,0.0001,RMSprop,ReduceLROnPlateau,0.3773,1.802509722137451
64,256,0.1,0.001,0.0005,SGD,ReduceLROnPlateau,0.3911,1.761817363357544
64,256,0.1,0.001,0.0005,RMSprop,ReduceLROnPlateau,0.4261,1.6167315242767335
64,256,0.1,0.001,0.001,SGD,ReduceLROnPlateau,0.3877,1.760009369659424
64,256,0.1,0.001,0.001,RMSprop,ReduceLROnPlateau,0.3123,1.7290356937408446
64,256,0.3,0.01,0.0001,SGD,ReduceLROnPlateau,0.4672,1.4968736692428588
64,256,0.3,0.01,0.0001,RMSprop,ReduceLROnPlateau,0.3241,1.803154753112793
64,256,0.3,0.01,0.0005,SGD,ReduceLROnPlateau,0.4687,1.4973894812583923
64,256,0.3,0.01,0.0005,RMSprop,ReduceLROnPlateau,0.303,1.908977513885498
64,256,0.3,0.01,0.001,SGD,ReduceLROnPlateau,0.4731,1.4932171051025391
64,256,0.3,0.01,0.001,RMSprop,ReduceLROnPlateau,0.3144,1.7332338199615478
64,256,0.3,0.005,0.0001,SGD,ReduceLROnPlateau,0.4397,1.5829512619018555
64,256,0.3,0.005,0.0001,RMSprop,ReduceLROnPlateau,0.161,2.253916478252411
64,256,0.3,0.005,0.0005,SGD,ReduceLROnPlateau,0.4553,1.5598936910629273
64,256,0.3,0.005,0.0005,RMSprop,ReduceLROnPlateau,0.3816,1.720242882156372
64,256,0.3,0.005,0.001,SGD,ReduceLROnPlateau,0.4575,1.559859980583191
64,256,0.3,0.005,0.001,RMSprop,ReduceLROnPlateau,0.4226,1.6062102476119995
64,256,0.3,0.001,0.0001,SGD,ReduceLROnPlateau,0.3914,1.7602762619018555
64,256,0.3,0.001,0.0001,RMSprop,ReduceLROnPlateau,0.3419,1.7445517852783203
64,256,0.3,0.001,0.0005,SGD,ReduceLROnPlateau,0.3892,1.7672267963409425
64,256,0.3,0.001,0.0005,RMSprop,ReduceLROnPlateau,0.3049,1.7092002660751342
64,256,0.3,0.001,0.001,SGD,ReduceLROnPlateau,0.3908,1.7597015027999878
64,256,0.3,0.001,0.001,RMSprop,ReduceLROnPlateau,0.3193,1.7676668098449706
64,256,0.5,0.01,0.0001,SGD,ReduceLROnPlateau,0.4437,1.4789857040405274
64,256,0.5,0.01,0.0001,RMSprop,ReduceLROnPlateau,0.2962,1.7837173225402831
64,256,0.5,0.01,0.0005,SGD,ReduceLROnPlateau,0.4355,1.4667249925613404
64,256,0.5,0.01,0.0005,RMSprop,ReduceLROnPlateau,0.3169,1.7826534130096436
64,256,0.5,0.01,0.001,SGD,ReduceLROnPlateau,0.452,1.5258038146972657
64,256,0.5,0.01,0.001,RMSprop,ReduceLROnPlateau,0.3425,1.8036025436401366
64,256,0.5,0.005,0.0001,SGD,ReduceLROnPlateau,0.4397,1.5627695098876953
64,256,0.5,0.005,0.0001,RMSprop,ReduceLROnPlateau,0.3582,1.7842647483825684
64,256,0.5,0.005,0.0005,SGD,ReduceLROnPlateau,0.4579,1.5505316801071167
64,256,0.5,0.005,0.0005,RMSprop,ReduceLROnPlateau,0.3444,1.7404657342910768
64,256,0.5,0.005,0.001,SGD,ReduceLROnPlateau,0.4462,1.559487246131897
64,256,0.5,0.005,0.001,RMSprop,ReduceLROnPlateau,0.4026,1.6409915260314942
64,256,0.5,0.001,0.0001,SGD,ReduceLROnPlateau,0.3887,1.7614647480010985
64,256,0.5,0.001,0.0001,RMSprop,ReduceLROnPlateau,0.354,1.7502981704711915
64,256,0.5,0.001,0.0005,SGD,ReduceLROnPlateau,0.3896,1.7654188774108888
64,256,0.5,0.001,0.0005,RMSprop,ReduceLROnPlateau,0.3706,1.75922720413208
64,256,0.5,0.001,0.001,SGD,ReduceLROnPlateau,0.3878,1.7631025512695313
64,256,0.5,0.001,0.001,RMSprop,ReduceLROnPlateau,0.3742,1.759015252685547
64,512,0.1,0.01,0.0001,SGD,ReduceLROnPlateau,0.4538,1.506192692756653
64,512,0.1,0.01,0.0001,RMSprop,ReduceLROnPlateau,0.2587,1.937418801689148
64,512,0.1,0.01,0.0005,SGD,ReduceLROnPlateau,0.4724,1.5085657390594482
64,512,0.1,0.01,0.0005,RMSprop,ReduceLROnPlateau,0.2932,1.8243871781349181
64,512,0.1,0.01,0.001,SGD,ReduceLROnPlateau,0.4438,1.5310363367080688
64,512,0.1,0.01,0.001,RMSprop,ReduceLROnPlateau,0.2585,2.0220934043884276
64,512,0.1,0.005,0.0001,SGD,ReduceLROnPlateau,0.4292,1.5641539070129395
64,512,0.1,0.005,0.0001,RMSprop,ReduceLROnPlateau,0.1248,3.6002014417648316
64,512,0.1,0.005,0.0005,SGD,ReduceLROnPlateau,0.4439,1.569501066017151
64,512,0.1,0.005,0.0005,RMSprop,ReduceLROnPlateau,0.3637,1.7640193939208983
64,512,0.1,0.005,0.001,SGD,ReduceLROnPlateau,0.4354,1.5939996875762938
64,512,0.1,0.005,0.001,RMSprop,ReduceLROnPlateau,0.4159,1.6205361993789673
64,512,0.1,0.001,0.0001,SGD,ReduceLROnPlateau,0.3921,1.760224090385437
64,512,0.1,0.001,0.0001,RMSprop,ReduceLROnPlateau,0.274,1.827981716156006
64,512,0.1,0.001,0.0005,SGD,ReduceLROnPlateau,0.3939,1.7549984287261964
64,512,0.1,0.001,0.0005,RMSprop,ReduceLROnPlateau,0.4071,1.6415886671066284
64,512,0.1,0.001,0.001,SGD,ReduceLROnPlateau,0.394,1.760145951461792
64,512,0.1,0.001,0.001,RMSprop,ReduceLROnPlateau,0.4602,1.5106805101394654
64,512,0.3,0.01,0.0001,SGD,ReduceLROnPlateau,0.4632,1.5089086011886597
64,512,0.3,0.01,0.0001,RMSprop,ReduceLROnPlateau,0.3525,1.812955315208435
64,512,0.3,0.01,0.0005,SGD,ReduceLROnPlateau,0.4399,1.5371260276794434
64,512,0.3,0.01,0.0005,RMSprop,ReduceLROnPlateau,0.2968,1.9551009370803833
64,512,0.3,0.01,0.001,SGD,ReduceLROnPlateau,0.433,1.5307833814620972
64,512,0.3,0.01,0.001,RMSprop,ReduceLROnPlateau,0.2845,1.8439926856994628
64,512,0.3,0.005,0.0001,SGD,ReduceLROnPlateau,0.4565,1.5584203630447389
64,512,0.3,0.005,0.0001,RMSprop,ReduceLROnPlateau,0.3637,1.6314629615783691
64,512,0.3,0.005,0.0005,SGD,ReduceLROnPlateau,0.4461,1.5732656150817872
64,512,0.3,0.005,0.0005,RMSprop,ReduceLROnPlateau,0.1,3.9489697376251223
64,512,0.3,0.005,0.001,SGD,ReduceLROnPlateau,0.414,1.5819790597915648
64,512,0.3,0.005,0.001,RMSprop,ReduceLROnPlateau,0.3476,1.7607224082946777
64,512,0.3,0.001,0.0001,SGD,ReduceLROnPlateau,0.3931,1.754146572494507
64,512,0.3,0.001,0.0001,RMSprop,ReduceLROnPlateau,0.3073,1.768119024658203
64,512,0.3,0.001,0.0005,SGD,ReduceLROnPlateau,0.3933,1.7586942501068115
64,512,0.3,0.001,0.0005,RMSprop,ReduceLROnPlateau,0.2787,1.836767562866211
64,512,0.3,0.001,0.001,SGD,ReduceLROnPlateau,0.3889,1.7591466400146485
64,512,0.3,0.001,0.001,RMSprop,ReduceLROnPlateau,0.4542,1.5350238349914551
64,512,0.5,0.01,0.0001,SGD,ReduceLROnPlateau,0.4647,1.5068825866699218
64,512,0.5,0.01,0.0001,RMSprop,ReduceLROnPlateau,0.3075,1.87277481842041
64,512,0.5,0.01,0.0005,SGD,ReduceLROnPlateau,0.4669,1.4867438558578492
64,512,0.5,0.01,0.0005,RMSprop,ReduceLROnPlateau,0.2231,1.9852421726226808
64,512,0.5,0.01,0.001,SGD,ReduceLROnPlateau,0.4685,1.5098696182250977
64,512,0.5,0.01,0.001,RMSprop,ReduceLROnPlateau,0.3195,1.8528526775360108
64,512,0.5,0.005,0.0001,SGD,ReduceLROnPlateau,0.445,1.5598792993545532
64,512,0.5,0.005,0.0001,RMSprop,ReduceLROnPlateau,0.4089,1.6626686544418334
64,512,0.5,0.005,0.0005,SGD,ReduceLROnPlateau,0.4532,1.5602210123062135
64,512,0.5,0.005,0.0005,RMSprop,ReduceLROnPlateau,0.3487,1.624483151435852
64,512,0.5,0.005,0.001,SGD,ReduceLROnPlateau,0.4526,1.5637199464797973
64,512,0.5,0.005,0.001,RMSprop,ReduceLROnPlateau,0.3176,1.6993062808990478
64,512,0.5,0.001,0.0001,SGD,ReduceLROnPlateau,0.3933,1.7571870626449584
64,512,0.5,0.001,0.0001,RMSprop,ReduceLROnPlateau,0.3064,1.764472308921814
64,512,0.5,0.001,0.0005,SGD,ReduceLROnPlateau,0.3931,1.759148690032959
64,512,0.5,0.001,0.0005,RMSprop,ReduceLROnPlateau,0.2496,1.8854200637817382
64,512,0.5,0.001,0.001,SGD,ReduceLROnPlateau,0.3955,1.7573588718414306
64,512,0.5,0.001,0.001,RMSprop,ReduceLROnPlateau,0.4359,1.552293780517578
64,1024,0.1,0.01,0.0001,SGD,ReduceLROnPlateau,0.4679,1.5079967224121094
64,1024,0.1,0.01,0.0001,RMSprop,ReduceLROnPlateau,0.2723,1.97827517786026
64,1024,0.1,0.01,0.0005,SGD,ReduceLROnPlateau,0.4464,1.5832268026351928
64,1024,0.1,0.01,0.0005,RMSprop,ReduceLROnPlateau,0.3139,1.9780594249725343
64,1024,0.1,0.01,0.001,SGD,ReduceLROnPlateau,0.4413,1.5073244827270509
64,1024,0.1,0.01,0.001,RMSprop,ReduceLROnPlateau,0.1907,2.04347952003479
64,1024,0.1,0.005,0.0001,SGD,ReduceLROnPlateau,0.4447,1.5796557744979858
64,1024,0.1,0.005,0.0001,RMSprop,ReduceLROnPlateau,0.3521,1.6407817525863648
64,1024,0.1,0.005,0.0005,SGD,ReduceLROnPlateau,0.4292,1.594780931854248
64,1024,0.1,0.005,0.0005,RMSprop,ReduceLROnPlateau,0.2724,1.7928297107696534
